,0,1,2,3
156,['wildboar'],1,[64.66188430786133],"[[0, 334, 602, 1078]]"
157,['wildboar'],1,[76.04011297225952],"[[13, 303, 622, 1080]]"
158,['wildboar'],1,[52.81808376312256],"[[0, 323, 571, 1070]]"
159,['wildboar'],1,[60.09577512741089],"[[38, 333, 538, 1080]]"
160,['wildboar'],1,[65.46925902366638],"[[15, 374, 591, 1080]]"
161,['wildboar'],1,[72.10103869438171],"[[93, 370, 568, 1077]]"
162,['wildboar'],1,[58.15436840057373],"[[12, 359, 584, 1069]]"
163,['wildboar'],1,[81.52446746826172],"[[59, 372, 550, 1080]]"
164,['wildboar'],1,[72.11508750915527],"[[61, 348, 564, 1064]]"
165,['wildboar'],1,[63.440608978271484],"[[0, 330, 575, 1080]]"
166,['wildboar'],1,[62.56080865859985],"[[0, 287, 572, 1080]]"
167,['wildboar'],1,[68.95232796669006],"[[0, 375, 639, 1080]]"
168,['wildboar'],1,[69.96403932571411],"[[0, 254, 576, 1080]]"
169,['wildboar'],1,[50.3656268119812],"[[0, 243, 540, 1080]]"
170,['wildboar'],1,[54.61814999580383],"[[11, 228, 513, 1080]]"
171,['wildboar'],1,[59.62393879890442],"[[0, 232, 482, 1080]]"
172,['wildboar'],1,[56.10092878341675],"[[0, 190, 477, 1043]]"
173,['wildboar'],1,[54.22919988632202],"[[0, 179, 475, 1063]]"
174,['wildboar'],1,[53.0392050743103],"[[0, 201, 440, 1039]]"
175,['wildboar'],1,[51.61014795303345],"[[0, 218, 452, 1004]]"
176,['wildboar'],1,[50.90455412864685],"[[0, 215, 463, 1002]]"
177,['wildboar'],1,[59.11463499069214],"[[0, 223, 391, 1080]]"
178,['wildboar'],1,[50.53926110267639],"[[0, 218, 423, 1061]]"
179,['wildboar'],1,[59.869831800460815],"[[0, 218, 449, 1043]]"
180,[],0,[],[]
181,[],0,[],[]
182,['wildboar'],1,[51.354533433914185],"[[0, 225, 472, 1078]]"
183,['wildboar'],1,[60.846078395843506],"[[0, 327, 390, 1079]]"
184,['wildboar'],1,[61.09250783920288],"[[0, 291, 419, 1080]]"
185,['wildboar'],1,[51.84500217437744],"[[0, 297, 425, 1030]]"
186,['wildboar'],1,[56.14197254180908],"[[0, 371, 388, 1069]]"
187,['wildboar'],1,[50.78628659248352],"[[0, 255, 411, 1001]]"
188,[],0,[],[]
189,[],0,[],[]
190,[],0,[],[]
191,[],0,[],[]
192,[],0,[],[]
193,[],0,[],[]
194,[],0,[],[]
195,['wildboar'],1,[54.51747179031372],"[[0, 253, 329, 1033]]"
196,['wildboar'],1,[50.04069805145264],"[[0, 360, 358, 1073]]"
197,['wildboar'],1,[50.950878858566284],"[[0, 465, 348, 1080]]"
198,['wildboar'],1,[52.10520625114441],"[[0, 458, 356, 1080]]"
199,[],0,[],[]
200,[],0,[],[]
201,[],0,[],[]
202,[],0,[],[]
203,[],0,[],[]
204,[],0,[],[]
205,[],0,[],[]
206,[],0,[],[]
207,[],0,[],[]
208,[],0,[],[]
209,[],0,[],[]
210,[],0,[],[]
211,[],0,[],[]
212,[],0,[],[]
213,[],0,[],[]
214,[],0,[],[]
215,[],0,[],[]
216,[],0,[],[]
217,[],0,[],[]
218,[],0,[],[]
219,[],0,[],[]
220,[],0,[],[]
221,[],0,[],[]
222,[],0,[],[]
223,[],0,[],[]
224,[],0,[],[]
225,[],0,[],[]
226,[],0,[],[]
227,[],0,[],[]
228,[],0,[],[]
229,[],0,[],[]
230,[],0,[],[]
231,[],0,[],[]
232,[],0,[],[]
233,[],0,[],[]
234,[],0,[],[]
235,[],0,[],[]
236,[],0,[],[]
237,[],0,[],[]
238,[],0,[],[]
239,[],0,[],[]
240,[],0,[],[]
241,[],0,[],[]
242,[],0,[],[]
243,[],0,[],[]
244,[],0,[],[]
245,[],0,[],[]
246,[],0,[],[]
247,[],0,[],[]
248,[],0,[],[]
249,[],0,[],[]
250,[],0,[],[]
251,[],0,[],[]
252,[],0,[],[]
253,[],0,[],[]
254,[],0,[],[]
255,[],0,[],[]
256,[],0,[],[]
257,[],0,[],[]
258,[],0,[],[]
259,[],0,[],[]
260,[],0,[],[]
261,[],0,[],[]
262,[],0,[],[]
263,[],0,[],[]
264,[],0,[],[]
265,[],0,[],[]
266,[],0,[],[]
267,[],0,[],[]
268,[],0,[],[]
269,[],0,[],[]
270,[],0,[],[]
271,[],0,[],[]
272,[],0,[],[]
273,[],0,[],[]
274,[],0,[],[]
275,[],0,[],[]
276,[],0,[],[]
277,[],0,[],[]
278,[],0,[],[]
279,[],0,[],[]
280,[],0,[],[]
281,[],0,[],[]
282,['wildcat'],1,[52.62383818626404],"[[566, 171, 761, 348]]"
283,[],0,[],[]
284,[],0,[],[]
285,[],0,[],[]
286,[],0,[],[]
287,[],0,[],[]
288,[],0,[],[]
289,[],0,[],[]
290,[],0,[],[]
291,[],0,[],[]
292,[],0,[],[]
293,[],0,[],[]
294,[],0,[],[]
295,[],0,[],[]
296,[],0,[],[]
297,[],0,[],[]
298,[],0,[],[]
299,[],0,[],[]
300,[],0,[],[]
301,[],0,[],[]
302,[],0,[],[]
303,[],0,[],[]
304,[],0,[],[]
305,[],0,[],[]
306,[],0,[],[]
307,[],0,[],[]
308,[],0,[],[]
309,[],0,[],[]
310,[],0,[],[]
311,[],0,[],[]
312,[],0,[],[]
313,[],0,[],[]
314,[],0,[],[]
315,[],0,[],[]
316,[],0,[],[]
317,[],0,[],[]
318,[],0,[],[]
319,[],0,[],[]
320,[],0,[],[]
321,[],0,[],[]
322,[],0,[],[]
323,[],0,[],[]
324,[],0,[],[]
325,[],0,[],[]
326,[],0,[],[]
327,['wildboar'],1,[58.63717794418335],"[[0, 320, 369, 954]]"
328,['wildboar'],1,[50.548338890075684],"[[14, 288, 370, 997]]"
329,['wildboar'],1,[54.12624478340149],"[[0, 323, 376, 976]]"
330,['wildboar'],1,[67.42298603057861],"[[0, 324, 383, 955]]"
331,['wildboar'],1,[79.89439964294434],"[[0, 314, 370, 980]]"
332,['wildboar'],1,[57.38654136657715],"[[0, 305, 413, 978]]"
333,['wildboar'],1,[55.63364028930664],"[[0, 305, 405, 948]]"
334,['wildboar'],1,[62.22282648086548],"[[25, 338, 404, 933]]"
335,[],0,[],[]
336,[],0,[],[]
337,['wildboar'],1,[64.34273719787598],"[[0, 305, 367, 926]]"
338,['wildboar'],1,[59.66477394104004],"[[31, 328, 386, 941]]"
339,['wildboar'],1,[55.599445104599],"[[23, 335, 397, 934]]"
340,['wildboar'],1,[63.71486783027649],"[[12, 281, 424, 958]]"
341,['wildboar'],1,[68.42533349990845],"[[0, 355, 418, 863]]"
342,['wildboar'],1,[62.39125728607178],"[[0, 317, 394, 958]]"
343,[],0,[],[]
344,[],0,[],[]
345,[],0,[],[]
346,['wildboar'],1,[58.30009579658508],"[[28, 316, 359, 979]]"
347,[],0,[],[]
348,['wildboar'],1,[70.00555992126465],"[[9, 343, 401, 957]]"
349,['wildboar'],1,[67.5105333328247],"[[0, 307, 367, 961]]"
350,['wildboar'],1,[65.60877561569214],"[[0, 316, 389, 962]]"
351,['wildboar'],1,[75.61448216438293],"[[0, 340, 414, 961]]"
352,['wildboar'],1,[61.66279315948486],"[[0, 306, 438, 971]]"
353,['wildboar'],1,[59.06016826629639],"[[2, 254, 459, 946]]"
354,['wildboar'],1,[66.58316254615784],"[[19, 272, 418, 959]]"
355,['wildboar'],1,[61.34514808654785],"[[7, 282, 416, 949]]"
356,['wildboar'],1,[58.43832492828369],"[[0, 261, 501, 971]]"
357,[],0,[],[]
358,['wildboar'],1,[58.118754625320435],"[[11, 315, 445, 1016]]"
359,['wildboar'],1,[59.55891013145447],"[[0, 333, 458, 1001]]"
360,['wildboar'],1,[75.79905390739441],"[[0, 326, 417, 962]]"
361,['wildboar'],1,[76.45927667617798],"[[0, 349, 420, 956]]"
362,['wildboar'],1,[50.66498517990112],"[[0, 302, 488, 961]]"
363,[],0,[],[]
364,['wildboar'],1,[52.930790185928345],"[[0, 280, 433, 990]]"
365,['wildboar'],1,[53.140902519226074],"[[0, 292, 471, 992]]"
366,['wildboar'],1,[56.020450592041016],"[[0, 313, 428, 980]]"
367,['wildboar'],1,[53.30913066864014],"[[0, 304, 494, 992]]"
368,['wildboar'],1,[86.92635893821716],"[[0, 308, 433, 987]]"
369,['wildboar'],1,[68.07584762573242],"[[17, 348, 398, 931]]"
370,['wildboar'],1,[59.398508071899414],"[[0, 284, 419, 956]]"
371,[],0,[],[]
372,[],0,[],[]
373,['wildboar'],1,[51.80194973945618],"[[0, 344, 415, 955]]"
374,['wildboar'],1,[80.74868321418762],"[[0, 330, 426, 983]]"
375,['wildboar'],1,[64.64843153953552],"[[0, 335, 428, 974]]"
